"GENE","UniProt","FC","log2(FC)","raw.pval","-log10(p)","probe"
Nsfl1c,"Q3KQQ1",0.91015,-0.13582,0.48559,0.31373,cg_0350
Ran,"Q3ULW0",1.2247,0.29241,0.48564,0.31368,cg_0351
Hnrnpd,"Q60668",0.86578,-0.20792,0.48632,0.31308,cg_0352
Vdac2,"G3UX26",0.90654,-0.14155,0.48706,0.31242,cg_0353
Etfb,"Q9DCW4",0.89767,-0.15574,0.49294,0.30721,cg_0354
Eef1d,"Q80T06",0.91638,-0.12598,0.493,0.30715,cg_0355
Hnrnpul2,"Q00PI9",1.1818,0.24102,0.49383,0.30643,cg_0356
Ddah2,"Q99LD8",0.71615,-0.48166,0.4941,0.30619,cg_0357
Tpm1,"E9Q448",0.91381,-0.13004,0.49429,0.30601,cg_0358
Actc1,"Q3UIJ3",1.0977,0.13445,0.49856,0.30228,cg_0359
Adk,"A0A286YCD7",1.3522,0.43535,0.49915,0.30177,cg_0360
Ighm,"P01872",0.91195,-0.13297,0.50264,0.29874,cg_0361
Vps29,"Q9QZ88",0.8901,-0.16796,0.50367,0.29785,cg_0362
